Epoch 3 Batch 3500 Loss 3.6337
Epoch 3 Batch 3600 Loss 3.1821
Epoch 3 Batch 3700 Loss 3.5057
Epoch 3 Batch 3800 Loss 3.1658
Epoch 3 Batch 3900 Loss 3.0773
Epoch 3 Batch 4000 Loss 3.1963
Epoch 3 Batch 4100 Loss 3.2973
Epoch 3 Batch 4200 Loss 3.1211
Epoch 3 Batch 4300 Loss 3.6038
Epoch 3 Batch 4400 Loss 3.5294
Epoch 3 Batch 4500 Loss 3.2655
Epoch 3 Batch 4600 Loss 2.9220
Epoch 3 Batch 4700 Loss 3.5770
Epoch 3 Batch 4800 Loss 3.0477
Epoch 3 Batch 4900 Loss 3.0646
Epoch 3 Batch 5000 Loss 3.4654
Epoch 3 Batch 5100 Loss 3.3049
Epoch 3 Loss 3.3245
Time taken for 1 epoch 562.662903547287 sec

Epoch 4 Batch 0 Loss 3.2583
Epoch 4 Batch 100 Loss 3.1847
Epoch 4 Batch 200 Loss 3.1176
Epoch 4 Batch 300 Loss 3.2292
Epoch 4 Batch 400 Loss 3.2464
Epoch 4 Batch 500 Loss 3.2978
Epoch 4 Batch 600 Loss 3.1729
Epoch 4 Batch 700 Loss 3.3836
Epoch 4 Batch 800 Loss 3.4699
Epoch 4 Batch 900 Loss 3.5326
Epoch 4 Batch 1000 Loss 3.3760
Epoch 4 Batch 1100 Loss 3.3332
Epoch 4 Batch 1200 Loss 3.5072
Epoch 4 Batch 1300 Loss 3.1831
Epoch 4 Batch 1400 Loss 3.0202
Epoch 4 Batch 1500 Loss 3.3044
Epoch 4 Batch 1600 Loss 3.3890
Epoch 4 Batch 1700 Loss 3.3284
Epoch 4 Batch 1800 Loss 2.9317
Epoch 4 Batch 1900 Loss 3.6128
Epoch 4 Batch 2000 Loss 3.2665
Epoch 4 Batch 2100 Loss 3.2171
Epoch 4 Batch 2200 Loss 3.0782
Epoch 4 Batch 2300 Loss 3.6498
Epoch 4 Batch 2400 Loss 3.0995
Epoch 4 Batch 2500 Loss 3.5073
